store_id,name,base_url,primary_category,coverage_categories,store_type,public_price_status,online_purchase,priority,verification_confidence,registry_status,integration_difficulty,current_mapping_count,ready_mapping_count,file_link_status,active
EG-023,Metro Markets,https://www.metro-markets.com/,البقالة والهايبرماركت,البقالة والهايبرماركت,سوبرماركت/سلسلة,ظاهر علنًا,نعم,P0,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-024,Rabbit,https://www.rabbitmart.com/,البقالة والهايبرماركت,البقالة والهايبرماركت,تطبيق توصيل سريع,داخل التطبيق فقط,عبر التطبيق,P0,B,نشط,مرتفعة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-025,Seoudi Supermarket,https://seoudisupermarket.com/en/select-store,البقالة والهايبرماركت,البقالة والهايبرماركت,سوبرماركت/سلسلة,يتطلب موقعًا/دخولًا,حسب الموقع,P0,B,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-026,Spinneys Egypt,https://spinneys-egypt.com/en,البقالة والهايبرماركت,البقالة والهايبرماركت,سوبرماركت/سلسلة,ظاهر علنًا,نعم,P0,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-027,Talabat Mart Egypt,https://www.talabat.com/egypt/talabat-mart/categories,البقالة والهايبرماركت,البقالة والهايبرماركت,سوق إلكتروني/تطبيق,يتطلب موقعًا/دخولًا,حسب الموقع,P0,B,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-028,Faces Egypt,https://www.faces.eg/en,الجمال والعناية,الجمال والعناية,سلسلة متخصصة,ظاهر علنًا,نعم,P0,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-029,Feel22 Egypt,https://eg.feel22.com/,الجمال والعناية,الجمال والعناية,متجر متخصص,ظاهر علنًا,نعم,P0,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-030,Mazaya,https://mazaya.eg/en,الجمال والعناية,الجمال والعناية,سلسلة متخصصة,ظاهر علنًا,نعم,P0,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-031,Source Beauty,https://sourcebeauty.com/,الجمال والعناية,الجمال والعناية,متجر متخصص,ظاهر علنًا,نعم,P0,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-032,Activ Abou Alaa,https://activaboualaa.com/,الرياضة,الرياضة,سلسلة متخصصة,ظاهر علنًا,نعم,P0,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-033,Decathlon Egypt,https://www.decathlon.eg/en,الرياضة,الرياضة,سلسلة متخصصة,ظاهر علنًا,نعم,P0,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-034,GO Sport Egypt,https://eg.gosportme.com/,الرياضة,الرياضة,سلسلة متخصصة,ظاهر علنًا,نعم,P0,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-035,INTERSPORT Egypt,https://www.intersport.com.eg/,الرياضة,الرياضة,سلسلة متخصصة,ظاهر علنًا,نعم,P0,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-036,Sports Mall Egypt,https://sportsmallegypt.com/,الرياضة,الرياضة,سلسلة متخصصة,ظاهر علنًا,نعم,P0,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-037,WayUp Sports,https://wayupsports.com/,الرياضة,الرياضة,سلسلة متخصصة,ظاهر علنًا,نعم,P0,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-038,Chefaa,https://chefaa.com/eg-en,الصيدليات والصحة,الصيدليات والصحة,سوق إلكتروني/تطبيق,يتطلب موقعًا/دخولًا,حسب الموقع,P0,B,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-039,Delmar & Attalla,https://www.delmar-attalla.com/,الصيدليات والصحة,الصيدليات والصحة,سلسلة صيدليات,ظاهر علنًا,نعم,P0,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-040,El Ezaby Pharmacies,https://elezabypharmacy.com/,الصيدليات والصحة,الصيدليات والصحة,سلسلة صيدليات/تطبيق,داخل التطبيق فقط,عبر التطبيق,P0,B,نشط,مرتفعة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-041,Misr Pharmacies,https://misrpharmacies.com/,الصيدليات والصحة,الصيدليات والصحة,سلسلة صيدليات/تطبيق,داخل التطبيق فقط,عبر التطبيق,P0,B,نشط,مرتفعة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-042,Seif Pharmacies,https://seif-online.com/en,الصيدليات والصحة,الصيدليات والصحة,سلسلة صيدليات,ظاهر علنًا,نعم,P0,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-043,Vezeeta Pharmacy,https://www.vezeeta.com/en-eg/pharmacy,الصيدليات والصحة,الصيدليات والصحة,سوق إلكتروني/تطبيق,يتطلب موقعًا/دخولًا,حسب الموقع,P0,B,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-044,Yodawy,https://yodawy.com/,الصيدليات والصحة,الصيدليات والصحة,سوق إلكتروني/تطبيق,داخل التطبيق فقط,عبر التطبيق,P0,B,نشط,مرتفعة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-045,2B Egypt,https://2b.com.eg/en,الكمبيوتر واللابتوب,الكمبيوتر واللابتوب,سلسلة,ظاهر؛ قد يحجب بعض أدوات الفهرسة,نعم,P0,B,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-046,Sigma Computer,https://www.sigma-computer.com/en,الكمبيوتر واللابتوب,الكمبيوتر واللابتوب,سلسلة متخصصة,ظاهر علنًا,نعم,P0,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-047,Dream 2000,https://dream2000.com/en,الموبايلات والتابلت,الموبايلات والتابلت,سلسلة,ظاهر علنًا,نعم,P0,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-048,Dubai Phone,https://www.dubaiphone.net/,الموبايلات والتابلت,الموبايلات والتابلت,سلسلة متخصصة,ظاهر علنًا,نعم,P0,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-049,XPRS,https://myxprs.com/collections/mobile-phones-egypt,الموبايلات والتابلت,الموبايلات والتابلت,سلسلة متخصصة,ظاهر علنًا,نعم,P0,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-050,Amazon Egypt,https://www.amazon.eg/-/en,سوق إلكتروني عام,سوق إلكتروني عام,سوق إلكتروني,ظاهر علنًا,نعم,P0,A,نشط,منخفضة-متوسطة,18,18,مربوط بمنتجات,True
EG-051,Carrefour Egypt,https://www.carrefouregypt.com/mafegy/en,سوق إلكتروني عام,سوق إلكتروني عام، البقالة والهايبرماركت,سوق إلكتروني/سلسلة / هايبرماركت/سلسلة,ظاهر علنًا,نعم,P0,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-052,Jumia Egypt,https://www.jumia.com.eg/,سوق إلكتروني عام,سوق إلكتروني عام,سوق إلكتروني,ظاهر علنًا,نعم,P0,A,نشط,منخفضة-متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-053,Noon Egypt,https://www.noon.com/egypt-en,سوق إلكتروني عام,سوق إلكتروني عام، البقالة والهايبرماركت,سوق إلكتروني / تطبيق توصيل سريع,ظاهر علنًا,نعم,P0,A,نشط,منخفضة-متوسطة,2,2,مربوط بمنتجات,True
EG-054,Foot Locker Egypt,https://www.footlocker.com.eg/en,موضة وأحذية,موضة وأحذية,سلسلة متخصصة,ظاهر علنًا,نعم,P0,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-055,FRG Store,https://www.frg.store/,موضة وأحذية,موضة وأحذية,سلسلة متخصصة,ظاهر علنًا,نعم,P0,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-056,e& Egypt E-Shop,https://www.eand.com.eg/eshop2,الاتصالات والأجهزة,الاتصالات والأجهزة,شركة اتصالات,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-057,WE Devices,https://te.eg/en/personal/devices,الاتصالات والأجهزة,الاتصالات والأجهزة,شركة اتصالات,ظاهر علنًا,غير مؤكد,P1,B,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-058,Home Centre Egypt,https://www.homecentre.com/eg/en,الأثاث والمنزل,الأثاث والمنزل,سلسلة متعددة الأقسام,ظاهر بعد تحديد منطقة التوصيل,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-059,HUB Furniture,https://hubfurniture.com.eg/,الأثاث والمنزل,الأثاث والمنزل,سلسلة متخصصة,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-060,IKEA Egypt,https://www.ikea.com/eg/en,الأثاث والمنزل,الأثاث والمنزل,علامة مباشرة/سلسلة,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,312,0,مربوط بمنتجات,True
EG-061,Kabbani Furniture,https://www.kabbanifurniture.com/en,الأثاث والمنزل,الأثاث والمنزل,سلسلة متخصصة,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-062,Manzzeli,https://manzzeli.com/,الأثاث والمنزل,الأثاث والمنزل,بوابة/سوق إلكتروني,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-063,Mintra,https://mintra.eg/,الأثاث والمنزل,موضة وأحذية، الأثاث والمنزل,علامة مباشرة/سلسلة,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,402,402,مربوط بمنتجات,True
EG-064,Smart Furniture,https://smartfurniture.com.eg/,الأثاث والمنزل,الأثاث والمنزل,سلسلة متخصصة,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-065,Ahmed El Sallab,https://www.ahmedelsallab.com/en/home-appliances.html,الأجهزة المنزلية,الأجهزة المنزلية، التشطيب ومواد البناء,سلسلة / سلسلة متخصصة,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-066,ALABIAD,https://allabiad.com/en,الأجهزة المنزلية,الأجهزة المنزلية,متجر متخصص,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-067,Bosch Home Egypt,https://www.bosch-home.com/eg/en/shop,الأجهزة المنزلية,الأجهزة المنزلية,علامة مباشرة,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-068,Bouri Center,https://bouri.com/,الأجهزة المنزلية,الأجهزة المنزلية,سلسلة متخصصة,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-069,CairoCart,https://cairocart.com/,الأجهزة المنزلية,الأجهزة المنزلية,متجر متخصص,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-070,Electrostar,https://electrostar.com.eg/en,الأجهزة المنزلية,الأجهزة المنزلية,علامة مباشرة,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-071,ElSindbad Store,https://elsindbadstore.com/en,الأجهزة المنزلية,الأجهزة المنزلية,سلسلة إقليمية,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-072,Midea Egypt,https://www.midea.com/eg,الأجهزة المنزلية,الأجهزة المنزلية,علامة مباشرة,ظاهر حسب المنتج,نعم,P1,B,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-073,Sakr Store,https://sakrstore.com/en,الأجهزة المنزلية,الأجهزة المنزلية,سلسلة إقليمية,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-074,Shaheen Egypt,https://shaheeneg.com/,الأجهزة المنزلية,الأجهزة المنزلية,متجر متخصص,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-075,Unionaire,https://unionaire.com/,الأجهزة المنزلية,الأجهزة المنزلية,علامة مباشرة,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-076,UStores,https://ustoreseg.com/,الأجهزة المنزلية,الأجهزة المنزلية,سلسلة,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-077,Wazen,https://wazen.eg/,الأجهزة المنزلية,الأجهزة المنزلية,سلسلة إقليمية,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-078,White Point El Abd,https://whitepointelabd.com/,الأجهزة المنزلية,الأجهزة المنزلية,علامة مباشرة,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-079,Zahran Stores,https://www.zahranstores.com/en,الأجهزة المنزلية,الأجهزة المنزلية,سلسلة,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,221,0,مربوط بمنتجات,True
EG-080,Zanussi Egypt,https://www.zanussi.com.eg/en/online-order,الأجهزة المنزلية,الأجهزة المنزلية,علامة مباشرة/سلسلة,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-081,Bingo,https://www.bingo.eg/,الأطفال والألعاب,الأطفال والأمومة، الألعاب والهوايات,سلسلة متخصصة / سلسلة/متجر متخصص,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-082,Toy & Joy,https://toyandjoy.com/,الأطفال والأمومة,الأطفال والأمومة,متجر متخصص/تطبيق,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-083,Games World Egypt,https://www.gamesworldegypt.com/,الألعاب والكمبيوتر,الألعاب والكمبيوتر,سلسلة متخصصة,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-084,Shamy Stores,https://shamystores.com/,الألعاب والكمبيوتر,الألعاب والكمبيوتر,سلسلة متخصصة,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,2,2,مربوط بمنتجات,True
EG-085,JAC Egypt,https://jac-eg.com/,الإلكترونيات والأجهزة,الإلكترونيات والأجهزة,علامة مباشرة,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-086,Kimo Store,https://kimostore.net/,الإلكترونيات والأجهزة,الإلكترونيات والأجهزة,متجر متخصص,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-087,Miami Centers,https://miamicenters.com/,الإلكترونيات والأجهزة,الإلكترونيات والأجهزة,سلسلة,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-088,Mobilaty,https://www.mobilaty.com/en,الإلكترونيات والأجهزة,الإلكترونيات والأجهزة,سلسلة متخصصة,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-089,More Electronics,https://moreelectronicss.com/en/home,الإلكترونيات والأجهزة,الإلكترونيات والأجهزة,متجر متخصص,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-090,Technology Valley,https://tv-it.com/,الإلكترونيات والأجهزة,الإلكترونيات والأجهزة,سلسلة,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-091,Awlad Ragab,https://www.awladragab.com/en,البقالة والهايبرماركت,البقالة والهايبرماركت,سوبرماركت/تطبيق,كتالوج فقط,عبر التطبيق,P1,B,نشط,مرتفعة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-092,Fathalla Market,https://fathallamarket.com.eg/,البقالة والهايبرماركت,البقالة والهايبرماركت,هايبرماركت/تطبيق,داخل التطبيق فقط,عبر التطبيق,P1,B,نشط,مرتفعة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-093,Oscar Grand Stores,https://www.oscarstores.com/,البقالة والهايبرماركت,البقالة والهايبرماركت,سوبرماركت/تطبيق,داخل التطبيق فقط,عبر التطبيق,P1,B,نشط,مرتفعة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-094,Abdelaziz El Sallab,https://azizsallab.com/,التشطيب ومواد البناء,التشطيب ومواد البناء,سلسلة متخصصة,ظاهر/جزئي,نعم,P1,B,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-095,Bnaia,https://bnaia.com/en,التشطيب ومواد البناء,التشطيب ومواد البناء,سوق إلكتروني/تطبيق,تطبيق أو طلب عرض/جزئي,نعم/طلب عرض,P1,B,نشط,مرتفعة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-096,Mostafa El Sallab,https://elsallab.com/,التشطيب ومواد البناء,التشطيب ومواد البناء,سلسلة متخصصة,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-097,Bath & Body Works Egypt,https://www.bathandbodyworks.com.eg/en,الجمال والعناية,الجمال والعناية,علامة مباشرة/سلسلة,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-098,Beauty Shop Egypt,https://beautyshopeg.com/,الجمال والعناية,الجمال والعناية,متجر متخصص,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-099,EVA Shop,https://www.shop.eva-cosmetics.com/,الجمال والعناية,الجمال والعناية,علامة مباشرة,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-100,Glow Egypt,https://glowegypt.com/,الجمال والعناية,الجمال والعناية,متجر متخصص,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-101,Joviality,https://joviality-eg.com/,الجمال والعناية,الجمال والعناية,علامة مباشرة,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-102,lo.la Egypt,https://eg.lolabeauty.com/,الجمال والعناية,الجمال والعناية,متجر متخصص,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-103,Luna Cosmetics,https://luna.com.eg/,الجمال والعناية,الجمال والعناية,علامة مباشرة,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-104,Zynah,https://zynah.me/,الجمال والعناية,الجمال والعناية,متجر متخصص,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-105,OSCAR Pet Shop,https://oscarpetshop.com/,الحيوانات الأليفة,الحيوانات الأليفة,متجر متخصص,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-106,PetsEgypt,https://petsegypt.com/,الحيوانات الأليفة,الحيوانات الأليفة,متجر متخصص,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-107,Shell Egypt Fitness,https://www.shellegypt.com/home-gym-equipment-shop,الدراجات والرياضة,الرياضة، الدراجات والرياضة,متجر متخصص,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-108,adidas Egypt,https://www.adidas.com.eg/en,الرياضة,الرياضة,علامة مباشرة/سلسلة,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-109,Champions Store,https://champions-store.com/,الرياضة,الرياضة,متجر متخصص,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-110,PUMA Egypt,https://eg.puma.com/en-eg,الرياضة,الرياضة,علامة مباشرة/سلسلة,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-111,RA Sport,https://rasport.store/,الرياضة,الرياضة,سلسلة متخصصة,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-112,Fit&Fix,https://www.fitandfix.com/,السيارات وقطع الغيار,السيارات وقطع الغيار,سلسلة ومراكز خدمة,ظاهر/يعتمد على المقاس أو السيارة,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-113,N Auto Express,https://nautoexpress.com/,السيارات وقطع الغيار,السيارات وقطع الغيار,متجر متخصص,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-114,Nacita Auto Care,https://nacitaautocare.com/,السيارات وقطع الغيار,السيارات وقطع الغيار,سلسلة ومراكز خدمة,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-115,Tawfiqia,https://www.tawfiqia.com/,السيارات وقطع الغيار,السيارات وقطع الغيار,سوق إلكتروني متخصص,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
EG-116,YourParts,https://www.yourparts.com/,السيارات وقطع الغيار,السيارات وقطع الغيار,متجر متخصص,ظاهر علنًا,نعم,P1,A,نشط,متوسطة,0,0,بانتظار اكتشاف روابط المنتجات,True
